frame_no,timestamp,position_px_y-hotpink,time_s,yposavg,yvelocity,yvelavg,yaccel,yaccelavg
209,7108.8,84.0,7.1088000000000005,84.0,,,,
210,7140.9,83.0,7.140899999999999,83.0,-0.03219154364613976,,,
211,7173.2,85.0,7.1732,85.0,0.06398443040501822,,,
212,7208.7,85.0,7.208699999999999,85.0,0.0,,,
213,7272.6,86.0,7.272600000000001,86.0,0.01617133882693321,0.011991056396452917,,
214,7308.5,86.0,7.3085,86.0,0.0,0.020038942307987858,0.22417509502882954,
215,7340.7,86.0,7.3407,86.0,0.0,0.0040428347067333024,-0.49677352798927865,-0.13629921648022456
216,7372.9,87.0,7.3729,87.0,0.03209156990810762,0.012065727183760207,0.24915815146046624,-0.1238076882644062
217,7408.8,88.0,7.4088,88.0,0.028784082201700024,0.01521891302745191,0.08783247475464179,0.168495313107554
218,7441.0,90.0,7.441,90.0,0.06418313981621523,0.03126469798150572,0.4983163029209325,0.29307438883778714
219,7472.9,92.0,7.472899999999999,92.0,0.06478674301197941,0.04746138373450057,0.5077330957051777,0.503024699313055
220,7509.1,96.0,7.5091,96.0,0.11418216033602493,0.0679840313414799,0.5669239670436139,0.5373285313743958
221,7573.1,105.0,7.5731,105.0,0.1453146399901477,0.09711667078859182,0.4551974913611233,0.5110607292023687
222,7609.1,111.0,7.609100000000001,111.0,0.1722247585068396,0.1241270754612479,0.7502890186848813,0.6027432550230023
223,7641.1,118.0,7.641100000000001,118.0,0.22604499554022975,0.1644416385933105,1.2598300978769554,1.0050595582809183
224,7673.1,125.0,7.673100000000001,125.0,0.22604499554022975,0.19240734739436172,0.8739284000328493,1.0668792489549024
225,7709.3,133.0,7.7093,133.0,0.22836432067206106,0.21316976756484005,0.5735475185215148,0.723737959277182
226,7747.1,142.0,7.7471000000000005,142.0,0.2460353692954837,0.23162242026200108,0.4881654152688012,0.530856466895158
227,7773.5,152.0,7.7735,152.0,0.3914199056973715,0.27296614780128653,1.5660502855790086,1.0271078504239048
228,7809.0,162.0,7.809,162.0,0.2910840988848043,0.28922592363743016,0.4580218545392589,1.0120360700591338
229,7841.3,174.0,7.8413,174.0,0.38390658243010933,0.3281114890769422,1.2038874749074857,0.8309546647233723
230,7873.2,186.0,7.8732,186.0,0.38872045807187644,0.36378276127104037,1.1182216988745723,1.1610545868910291
231,7908.7,199.0,7.9087,199.0,0.37840932855024556,0.36053011698425896,-0.09162378272623706,0.5132989580741676
232,7940.8,212.0,7.9408,212.0,0.4184900673997938,0.3923816091130063,0.9922583217678084,0.45031726952078566
233,7973.6,226.0,7.9736,226.0,0.4410634059321568,0.40667081498851815,0.43564652059487446,0.7139524211813414
234,8008.7,241.0,8.0087,241.0,0.44160194488935045,0.41989118669288666,0.376648766506236,0.4061476435505552
235,8042.9,257.0,8.0429,257.0,0.48343791861569324,0.4461483342092486,0.7677528513556069,0.5722008089309214
236,8072.8,273.0,8.0728,273.0,0.5529624353396676,0.479766426194217,1.124350902507253,0.9460518769314299
237,8108.9,290.0,8.1089,290.0,0.48661843123817683,0.491155182520722,0.31547801458463137,0.719914458545942
238,8140.8,308.0,8.1408,308.0,0.5830806871077985,0.526524868075334,1.108767572244883,0.7121227934147571
239,8173.1,326.0,8.1731,326.0,0.5758598736451799,0.5496303568327057,0.7153402092065665,0.9120538907257247
240,8208.9,345.0,8.2089,345.0,0.5484252086530711,0.5484960501610565,-0.03168454390081433,0.341827832652876
241,8241.0,365.0,8.241,365.0,0.6438308729227774,0.5877991605822067,1.2243959632757149,0.5963557096874501
242,8273.0,385.0,8.273,385.0,0.6458428444006564,0.6034896999054212,0.4903293538504531,0.857362658563084
243,8308.9,403.0,8.3089,403.0,0.5181134796306133,0.5890531014017795,-0.4021336630540901,0.04409784539818151
244,8340.7,430.0,8.3407,430.0,0.8773714112612563,0.6712896520538258,2.586055051951104,1.091960694448507
245,8373.3,447.0,8.373299999999999,447.0,0.5388627413404481,0.6450476191582435,-0.8049703342203515,0.8905423588653762
246,8409.3,472.0,8.4093,472.0,0.7176031604451473,0.6629876981693662,0.4983355280867231,-0.15331740306681418
